Fiche de données de charge de véhicule électrique;;;;
Modèle ;Renault_Q210_22;;;
Utilisateur;crayfrog;;;
ancienneté véhicule (années);non spécifié;;;
kilométrage véhicule;non spécifié;;;
température moyenne extérieure pendant la charge;non spécifié;;;
température moyenne batterie pendant la charge;non spécifié;;;
Capacité utile batterie (kWh);22;;;
Modèle chargeur;;;;
type prise chargeur;T2;;;
Puissance maximal chargeur (kW);18kWh;;;
Courant maximal chargeur (A);;;;
;;;;
Temps;Pourcentage charge;Puissance;Tension;Courant
s;%;W;V;A
0;0;14.0237;0;0
0;1;14.0237;0;0
0;2;14.0237;0;0
0;3;14.0237;0;0
0;4;14.0237;0;0
0;5;14.0237;0;0
0;6;14.0237;0;0
0;7;14.0237;0;0
0;8;14.0237;0;0
0;9;14.0237;0;0
0;10;14.0237;0;0
0;11;14.0237;0;0
0;12;14.0237;0;0
0;13;14.0237;0;0
0;14;14.0237;0;0
0;15;14.0237;0;0
0;16;14.0237;0;0
0;17;14.0237;0;0
0;18;14.0237;0;0
0;19;14.0237;0;0
0;20;13.9336;0;0
0;21;13.889;0;0
0;22;14.0843;0;0
0;23;14.0947;0;0
0;24;14.1051;0;0
0;25;14.1154;0;0
0;26;14.1258;0;0
0;27;14.1361;0;0
0;28;14.1465;0;0
0;29;14.1157;0;0
0;30;14.1419;0;0
0;31;14.2655;0;0
0;32;14.169;0;0
0;33;14.0976;0;0
0;34;14.1275;0;0
0;35;14.1672;0;0
0;36;14.2236;0;0
0;37;14.1155;0;0
0;38;14.1378;0;0
0;39;14.191;0;0
0;40;14.18;0;0
0;41;14.136;0;0
0;42;14.193;0;0
0;43;14.116;0;0
0;44;14.1593;0;0
0;45;14.4002;0;0
0;46;14.3772;0;0
0;47;14.2596;0;0
0;48;14.2697;0;0
0;49;14.3964;0;0
0;50;14.3113;0;0
0;51;14.2422;0;0
0;52;14.2629;0;0
0;53;14.2641;0;0
0;54;14.263;0;0
0;55;14.3176;0;0
0;56;14.2813;0;0
0;57;14.3241;0;0
0;58;14.3188;0;0
0;59;14.376;0;0
0;60;14.3694;0;0
0;61;14.2226;0;0
0;62;14.3288;0;0
0;63;14.334;0;0
0;64;14.2789;0;0
0;65;14.269;0;0
0;66;14.3036;0;0
0;67;14.211;0;0
0;68;14.211;0;0
0;69;14.3073;0;0
0;70;14.3416;0;0
0;71;14.3618;0;0
0;72;14.2866;0;0
0;73;14.3063;0;0
0;74;14.4199;0;0
0;75;14.4215;0;0
0;76;14.3453;0;0
0;77;14.3409;0;0
0;78;14.2927;0;0
0;79;14.3561;0;0
0;80;14.4216;0;0
0;81;14.4291;0;0
0;82;14.3482;0;0
0;83;14.347;0;0
0;84;14.3859;0;0
0;85;14.4011;0;0
0;86;14.3233;0;0
0;87;14.3991;0;0
0;88;14.3976;0;0
0;89;14.3633;0;0
0;90;14.3424;0;0
0;91;14.2806;0;0
0;92;14.2538;0;0
0;93;14.2873;0;0
0;94;13.4224;0;0
0;95;11.6846;0;0
0;96;10.4291;0;0
0;97;7.7347;0;0
0;98;7.2465;0;0
0;99;6.1682;0;0
0;100;4.796;0;0
