Fiche de données de charge de véhicule électrique;;;;
Modèle ;Hyundai_IONIQ_28;;;
Utilisateur;zeta;;;
ancienneté véhicule (années);non spécifié;;;
kilométrage véhicule;non spécifié;;;
température moyenne extérieure pendant la charge;non spécifié;;;
température moyenne batterie pendant la charge;non spécifié;;;
Capacité utile batterie (kWh);28.5;;;
Modèle chargeur;Fastned;;;
type prise chargeur;CCS;;;
Puissance maximal chargeur (kW);175kW;;;
Courant maximal chargeur (A);200;;;
;;;;
Temps;Pourcentage charge;Puissance;Tension;Courant
s;%;W;V;A
;0;61;348.571428571429;175
;1;61;348.571428571429;175
;2;61;348.571428571429;175
;3;61;348.571428571429;175
;4;61;348.571428571429;175
;5;61;348.571428571429;175
;6;61.2;349.714285714286;175
;7;61.4;350.857142857143;175
;8;61.6;352;175
;9;61.8;353.142857142857;175
;10;62;354.285714285714;175
;11;62.3;356;175
;12;62.6;357.714285714286;175
;13;62.9;359.428571428571;175
;14;63.2;361.142857142857;175
;15;63.5;362.857142857143;175
;16;63.8;364.571428571429;175
;17;64.1;366.285714285714;175
;18;64.4;368;175
;19;64.7;369.714285714286;175
;20;65;371.428571428571;175
;21;65.125;372.142857142857;175
;22;65.25;372.857142857143;175
;23;65.375;373.571428571429;175
;24;65.5;374.285714285714;175
;25;65.625;375;175
;26;65.75;375.714285714286;175
;27;65.875;376.428571428571;175
;28;66;377.142857142857;175
;29;66.125;377.857142857143;175
;30;66.25;378.571428571429;175
;31;66.375;379.285714285714;175
;32;66.5;380;175
;33;66.625;380.714285714286;175
;34;66.75;381.428571428571;175
;35;66.875;382.142857142857;175
;36;67;382.857142857143;175
;37;67.125;383.571428571429;175
;38;67.25;384.285714285714;175
;39;67.375;385;175
;40;67.5;385.714285714286;175
;41;67.625;386.428571428571;175
;42;67.75;387.142857142857;175
;43;67.875;387.857142857143;175
;44;68;388.571428571429;175
;45;68.125;389.285714285714;175
;46;68.25;390;175
;47;68.375;390.714285714286;175
;48;68.5;391.428571428571;175
;49;68.625;392.142857142857;175
;50;68.75;392.857142857143;175
;51;68.875;393.571428571429;175
;52;69;394.285714285714;175
;53;69.125;395;175
;54;69.25;395.714285714286;175
;55;69.375;396.428571428571;175
;56;69.5;397.142857142857;175
;57;69.625;397.857142857143;175
;58;69.75;398.571428571429;175
;59;69.875;399.285714285714;175
;60;70;400;175
;61;70;400;175
;62;70;400;175
;63;70;400;175
;64;70;400;175
;65;70;400;175
;66;70;400;175
;67;70;400;175
;68;70;400;175
;69;70;400;175
;70;70;400;175
;71;70;400;175
;72;70;400;175
;73;70;400;175
;74;70;400;175
;75;70;400;175
;76;70;400;175
;77;70;400;175
;78;70;400;175
;79;60;400;150
;80;55;400;137.5
;81;50;400;125
;82;35;400;87.5
;83;30;400;75
;84;25;400;62.5
;85;22;400;55
;86;22;400;55
;87;22;400;55
;88;22;400;55
;89;22;400;55
;90;22;400;55
;91;22;400;55
;92;22;400;55
;93;22;400;55
;94;22;400;55
;95;20;400;50
;96;18;400;45
;97;16;400;40
;98;14;400;35
;99;12;400;30
;100;10;400;25
