Fiche de données de charge de véhicule électrique;;;;
Modèle ;Tesla_M3_75;;;
Utilisateur;zeta;;;
ancienneté véhicule (années);non spécifié;;;
kilométrage véhicule;non spécifié;;;
température moyenne extérieure pendant la charge;non spécifié;;;
température moyenne batterie pendant la charge;non spécifié;;;
Capacité utile batterie (kWh);74;;;
Modèle chargeur;Tesla Superchargeur V2;;;
type prise chargeur;Tesla;;;
Puissance maximal chargeur (kW);130kW;;;
Courant maximal chargeur (A);;;;
;;;;
Temps;Pourcentage charge;Puissance;Tension;Courant
s;%;W;V;A
;0;60;0;0
;1;60;0;0
;2;60;0;0
;3;60;0;0
;4;60;0;0
;5;80;0;0
;6;100;0;0
;7;110;0;0
;8;113;0;0
;9;115;0;0
;10;115;0;0
;11;115;0;0
;12;115;0;0
;13;115;0;0
;14;115;0;0
;15;115;0;0
;16;115;0;0
;17;115;0;0
;18;115;0;0
;19;115;0;0
;20;115;0;0
;21;115;0;0
;22;115;0;0
;23;115;0;0
;24;115;0;0
;25;115;0;0
;26;115;0;0
;27;115;0;0
;28;115;0;0
;29;115;0;0
;30;115;0;0
;31;115;0;0
;32;115;0;0
;33;115;0;0
;34;115;0;0
;35;115;0;0
;36;115;0;0
;37;115;0;0
;38;115;0;0
;39;115;0;0
;40;115;0;0
;41;115;0;0
;42;115;0;0
;43;115;0;0
;44;113.05;0;0
;45;111.1;0;0
;46;109.15;0;0
;47;107.2;0;0
;48;105.25;0;0
;49;103.3;0;0
;50;101.35;0;0
;51;99.4;0;0
;52;97.45;0;0
;53;95.5;0;0
;54;93.55;0;0
;55;91.6;0;0
;56;89.65;0;0
;57;87.7;0;0
;58;85.75;0;0
;59;83.8;0;0
;60;81.85;0;0
;61;79.9;0;0
;62;77.9499999999999;0;0
;63;76;0;0
;64;74.125;0;0
;65;72.25;0;0
;66;70.375;0;0
;67;68.5;0;0
;68;66.625;0;0
;69;64.75;0;0
;70;62.875;0;0
;71;61;0;0
;72;59.125;0;0
;73;57.25;0;0
;74;55.375;0;0
;75;53.5;0;0
;76;51.625;0;0
;77;49.75;0;0
;78;47.875;0;0
;79;46;0;0
;80;43.8;0;0
;81;41.6;0;0
;82;39.4;0;0
;83;37.2;0;0
;84;35;0;0
;85;32.8;0;0
;86;30.6;0;0
;87;28.4;0;0
;88;26.2;0;0
;89;24;0;0
;90;21.8;0;0
;91;19.6;0;0
;92;18;0;0
;93;16;0;0
;94;14;0;0
;95;12;0;0
;96;10;0;0
;97;8;0;0
;98;6;0;0
;99;6;0;0
;100;6;0;0
