,Ioniq 28,Zoe 22 Q210,Leaf 40,Kona 64,Tesla Model 3
,Hyundai_IONIQ_28,Renault_Q210_22,Nissan_LEAF_40,Hyundai_KONA_64,
,26.5,22,38.5,,75
0,61,14.0237,42,,60
1,61,14.0237,42.05,,60
2,61,14.0237,42.1,,60
3,61,14.0237,42.15,,60
4,61,14.0237,42.2,,60
5,61,14.0237,42.25,,80
6,61.2,14.0237,42.3,,100
7,61.4,14.0237,42.35,,110
8,61.6,14.0237,42.4,,113
9,61.8,14.0237,42.45,,115
10,62,14.0237,42.5,,115
11,62.3,14.0237,42.55,,115
12,62.6,14.0237,42.6,,115
13,62.9,14.0237,42.65,,115
14,63.2,14.0237,42.7,,115
15,63.5,14.0237,42.75,,115
16,63.8,14.0237,42.8,,115
17,64.1,14.0237,42.85,,115
18,64.4,14.0237,42.9,,115
19,64.7,14.0237,42.9499999999999,,115
20,65,13.9336,42.9999999999999,,115
21,65.125,13.889,43.0499999999999,,115
22,65.25,14.0843,43.0999999999999,,115
23,65.375,14.0947,43.1499999999999,,115
24,65.5,14.1051,43.1999999999999,,115
25,65.625,14.1154,43.2499999999999,,115
26,65.75,14.1258,43.2999999999999,,115
27,65.875,14.1361,43.3499999999999,,115
28,66,14.1465,43.3999999999999,,115
29,66.125,14.1157,43.4499999999999,,115
30,66.25,14.1419,43.4999999999999,,115
31,66.375,14.2655,43.5499999999999,,115
32,66.5,14.169,43.5999999999999,,115
33,66.625,14.0976,43.6499999999999,,115
34,66.75,14.1275,43.6999999999999,,115
35,66.875,14.1672,43.7499999999999,,115
36,67,14.2236,43.7999999999999,,115
37,67.125,14.1155,43.8499999999999,,115
38,67.25,14.1378,43.8999999999999,,115
39,67.375,14.191,43.9499999999999,,115
40,67.5,14.18,43.9999999999999,,115
41,67.625,14.136,44.0499999999999,,115
42,67.75,14.193,44.0999999999999,,115
43,67.875,14.116,44.1499999999999,,115
44,68,14.1593,44.1999999999999,,113.05
45,68.125,14.4002,44.2499999999999,,111.1
46,68.25,14.3772,44.2999999999999,,109.15
47,68.375,14.2596,44.3499999999999,,107.2
48,68.5,14.2697,44.3999999999999,,105.25
49,68.625,14.3964,44.4499999999999,,103.3
50,68.75,14.3113,44.4999999999999,,101.35
51,68.875,14.2422,44.5499999999999,,99.4
52,69,14.2629,44.5999999999999,,97.45
53,69.125,14.2641,44.6499999999999,,95.5
54,69.25,14.263,44.6999999999998,,93.55
55,69.375,14.3176,44.7499999999998,,91.6
56,69.5,14.2813,44.7999999999998,,89.65
57,69.625,14.3241,44.8499999999998,,87.7
58,69.75,14.3188,44.8999999999998,,85.75
59,69.875,14.376,44.9499999999998,,83.8
60,70,14.3694,45,,81.85
61,70,14.2226,44,,79.9
62,70,14.3288,43,,77.9499999999999
63,70,14.334,42,,76
64,70,14.2789,41,,74.125
65,70,14.269,40,,72.25
66,70,14.3036,38,,70.375
67,70,14.211,37,,68.5
68,70,14.211,36,,66.625
69,70,14.3073,35,,64.75
70,70,14.3416,34,,62.875
71,70,14.3618,33.3,,61
72,70,14.2866,32.6,,59.125
73,70,14.3063,31.9,,57.25
74,70,14.4199,31.2,,55.375
75,70,14.4215,30.5,,53.5
76,70,14.3453,29.8,,51.625
77,70,14.3409,29.1,,49.75
78,70,14.2927,28.4,,47.875
79,60,14.3561,27.7,,46
80,55,14.4216,27,,43.8
81,50,14.4291,26.3,,41.6
82,35,14.3482,25.6,,39.4
83,30,14.347,24.9,,37.2
84,25,14.3859,24.2,,35
85,22,14.4011,23.5,,32.8
86,22,14.3233,22.8,,30.6
87,22,14.3991,22.1,,28.4
88,22,14.3976,21.4,,26.2
89,22,14.3633,20.7,,24
90,22,14.3424,20,,21.8
91,22,14.2806,19.3,,19.6
92,22,14.2538,18.6,,18
93,22,14.2873,17.9,,16
94,22,13.4224,17.2,,14
95,20,11.6846,16.5,,12
96,18,10.4291,15.8,,10
97,16,7.7347,15.1,,8
98,14,7.2465,14.4,,6
99,12,6.1682,13.7,,6
100,10,4.796,13,,6
